Наименование филиала ;Необходимый тип транспортного средства;Подана заявка;Выполнена заявка
ВПС Куркино;Машина с носилками;21.10.2022;21.10.2022
ВПС ПМХ;Машина с носилками;21.10.2022;21.10.2022
ВПС Куркино;Машина с носилками;21.10.2022;21.10.2022
Аптека;Грузовой административный транспорт;21.10.2022;21.10.2022
ВПС ПМХ;Машина с носилками;21.10.2022;21.10.2022
ВПС Хорошёво;Машина с носилками;21.10.2022;21.10.2022
Дегунино;Машина с носилками;21.10.2022;24.10.2022
ВПС Некрасовка;Машина с носилками;21.10.2022;21.10.2022
ВПС Царицыно;Машина с носилками;21.10.2022;21.10.2022
ВПС Некрасовка;Машина с носилками;21.10.2022;21.10.2022
ВПС Некрасовка;Машина с носилками;21.10.2022;21.10.2022
ВПС Царицыно;Машина с носилками;21.10.2022;21.10.2022
ВПС Савеловский;Машина с носилками;21.10.2022;21.10.2022
Савеловский (1 ОПМПВ);Машина с носилками;21.10.2022;21.10.2022
Респираторный центр;Машина с носилками;21.10.2022;24.10.2022
ВПС Царицыно;Машина с носилками;21.10.2022;21.10.2022
ДСУ Люблино;Машина с носилками;21.10.2022;24.10.2022
ВПС Ростокино;Машина с носилками;21.10.2022;21.10.2022
ВПС Ростокино;Машина с носилками;21.10.2022;21.10.2022
Бутово;Машина с носилками;21.10.2022;24.10.2022
Координационный центр;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );21.10.2022;21.10.2022
Савеловский (2 ОПМПВ);Машина с носилками;21.10.2022;25.10.2022
Респираторный центр;Машина с носилками;21.10.2022;24.10.2022
Респираторный центр;Машина с носилками;21.10.2022;24.10.2022
ДСУ Коломенское;Машина с носилками;21.10.2022;24.10.2022
Дегунино;Машина с носилками;21.10.2022;23.10.2022
Аптека;Грузовой административный транспорт;21.10.2022;24.10.2022
Куркино;Машина с носилками;21.10.2022;23.10.2022
Куркино;Машина с носилками;21.10.2022;22.10.2022
Куркино;Машина с носилками;21.10.2022;24.10.2022
ВПС Бутово;Машина с носилками;22.10.2022;22.10.2022
ВПС Куркино;Машина с носилками;22.10.2022;22.10.2022
ВПС Бутово;Машина с носилками;22.10.2022;22.10.2022
ВПС Хорошёво;Машина с носилками;22.10.2022;22.10.2022
ВПС Люблино;Машина с носилками;22.10.2022;22.10.2022
ВПС Черемушкинская;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );22.10.2022;22.10.2022
ВПС Черемушкинская;Машина с носилками;22.10.2022;22.10.2022
ВПС Дегунино;Машина с носилками;22.10.2022;22.10.2022
ВПС ПМХ;Машина с носилками;22.10.2022;22.10.2022
ВПС ПМХ;Машина с носилками;22.10.2022;22.10.2022
ВПС Хорошёво;Машина с носилками;22.10.2022;22.10.2022
ВПС Ростокино;Машина с носилками;22.10.2022;22.10.2022
ВПС Царицыно;Машина с носилками;22.10.2022;22.10.2022
ВПС Зеленоград;Машина с носилками;22.10.2022;23.10.2022
ВПС Черемушкинская;Машина с носилками;23.10.2022;23.10.2022
ВПС Черемушкинская;Машина с носилками;23.10.2022;23.10.2022
ВПС Некрасовка;Машина с носилками;23.10.2022;23.10.2022
ВПС Савеловский;Машина с носилками;23.10.2022;23.10.2022
ВПС Некрасовка;Машина с носилками;23.10.2022;23.10.2022
ВПС Хорошёво;Машина с носилками;23.10.2022;23.10.2022
ВПС ПМХ;Машина с носилками;23.10.2022;23.10.2022
ВПС Куркино;Машина с носилками;23.10.2022;23.10.2022
ВПС Люблино;Машина с носилками;23.10.2022;23.10.2022
Савеловский (1 ОПМПВ);Легковой административный транспорт;24.10.2022;24.10.2022
ВПС Вороново;Машина с носилками;24.10.2022;24.10.2022
ВПС Савеловский;Машина с носилками;24.10.2022;24.10.2022
ВПС Хорошёво;Машина с носилками;24.10.2022;24.10.2022
ВПС Хорошёво;Машина с носилками;24.10.2022;24.10.2022
ВПС Дегунино;Машина с носилками;24.10.2022;24.10.2022
ВПС Куркино;Машина с носилками;24.10.2022;24.10.2022
ВПС Дегунино;Машина с носилками;24.10.2022;24.10.2022
ВПС Люблино;Машина с носилками;24.10.2022;24.10.2022
ВПС Зеленоград;Машина с носилками;24.10.2022;24.10.2022
ВПС Преображенское;Машина с носилками;24.10.2022;24.10.2022
Аптека;Грузовой административный транспорт;24.10.2022;25.10.2022
ВПС Перово;Машина с носилками;24.10.2022;24.10.2022
ВПС ПМХ;Машина с носилками;24.10.2022;24.10.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );24.10.2022;24.10.2022
ВПС ПМХ;Машина с носилками;24.10.2022;24.10.2022
ДСУ Коломенское;Машина с носилками;24.10.2022;24.10.2022
Дегунино;Машина с носилками;24.10.2022;25.10.2022
ВПС Вороново;Машина с носилками;24.10.2022;25.10.2022
ВПС Бутово;Машина с носилками;24.10.2022;25.10.2022
ВПС ПМХ;Машина с носилками;24.10.2022;25.10.2022
ВПС ПМХ;Машина с носилками;24.10.2022;25.10.2022
ВПС Зеленоград;Машина с носилками;24.10.2022;25.10.2022
ПМХ;Машина с носилками;24.10.2022;25.10.2022
Бутово;Машина с носилками;24.10.2022;26.10.2022
Бутово;Машина с носилками;24.10.2022;26.10.2022
Бутово;Машина с носилками;24.10.2022;24.10.2022
ВПС Черемушкинская;Машина с носилками;24.10.2022;25.10.2022
ВПС Люблино;Машина с носилками;24.10.2022;24.10.2022
Савеловский (3 ОПМПВ);Машина с носилками;24.10.2022;28.10.2022
Куркино;Машина с носилками;24.10.2022;25.10.2022
Савеловский (2 ОПМПВ);Машина с носилками;24.10.2022;25.10.2022
Савеловский (1 ОПМПВ);Легковой административный транспорт;25.10.2022;25.10.2022
ВПС Зеленоград;Машина с носилками;25.10.2022;25.10.2022
ВПС Перово;Машина с носилками;25.10.2022;25.10.2022
ВПС Черемушкинская;Машина с носилками;25.10.2022;25.10.2022
Администрация;Легковой административный транспорт;25.10.2022;26.10.2022
Администрация;Легковой административный транспорт;25.10.2022;26.10.2022
Администрация;Легковой административный транспорт;25.10.2022;27.10.2022
ВПС Дегунино;Машина с носилками;25.10.2022;25.10.2022
ВПС Перово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );25.10.2022;25.10.2022
ВПС Царицыно;Машина с носилками;25.10.2022;25.10.2022
ВПС Люблино;Машина с носилками;25.10.2022;25.10.2022
ВПС Куркино;Машина с носилками;25.10.2022;25.10.2022
ВПС Хорошёво;Машина с носилками;25.10.2022;25.10.2022
ВПС Перово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );25.10.2022;25.10.2022
Савеловский (4 ОПМПВ);Машина с носилками;25.10.2022;27.10.2022
ДСУ Люблино;Машина с носилками;25.10.2022;26.10.2022
ВПС ПМХ;Машина с носилками;25.10.2022;25.10.2022
ДСУ Люблино;Машина с носилками;25.10.2022;02.11.2022
ДСУ Люблино;Машина с носилками;25.10.2022;26.10.2022
Ростокино;Машина с носилками;25.10.2022;27.10.2022
ВПС Ростокино;Машина с носилками;25.10.2022;25.10.2022
Социальная служба;Машина с носилками;25.10.2022;27.10.2022
Медицинский архив;Легковой административный транспорт;25.10.2022;26.10.2022
Социальная служба;Машина с носилками;25.10.2022;27.10.2022
Социальная служба;Машина с носилками;25.10.2022;26.10.2022
ДСУ Люблино;Машина с носилками;25.10.2022;26.10.2022
Лаборатория;Легковой административный транспорт;25.10.2022;27.10.2022
ПМХ;Машина с носилками;25.10.2022;26.10.2022
ВПС Куркино;Машина с носилками;25.10.2022;25.10.2022
ВПС Люблино;Машина с носилками;25.10.2022;26.10.2022
ВПС ПМХ;Машина с носилками;25.10.2022;26.10.2022
Координационный центр;Скорая помощь (Центр);25.10.2022;25.10.2022
Координационный центр;Скорая помощь (Центр);25.10.2022;25.10.2022
Координационный центр;Скорая помощь (Центр);25.10.2022;25.10.2022
Отдел МТО;Легковой административный транспорт;26.10.2022;26.10.2022
ВПС Савеловский;Машина с носилками;26.10.2022;26.10.2022
ВПС Куркино;Машина с носилками;26.10.2022;26.10.2022
ВПС Бутово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );26.10.2022;26.10.2022
ВПС Ростокино;Машина с носилками;26.10.2022;26.10.2022
ВПС Царицыно;Машина с носилками;26.10.2022;26.10.2022
ВПС Куркино;Машина с носилками;26.10.2022;26.10.2022
Аптека;Грузовой административный транспорт;26.10.2022;26.10.2022
ВПС Черемушкинская;Машина с носилками;26.10.2022;26.10.2022
ВПС Некрасовка;Машина с носилками;26.10.2022;26.10.2022
Аптека;Грузовой административный транспорт;26.10.2022;27.10.2022
Аптека;Легковой административный транспорт;26.10.2022;28.10.2022
Аптека;Грузовой административный транспорт;26.10.2022;28.10.2022
ВПС Преображенское;Машина с носилками;26.10.2022;26.10.2022
Савеловский (4 ОПМПВ);Машина с носилками;26.10.2022;27.10.2022
ВПС Перово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );26.10.2022;26.10.2022
Ростокино;Машина с носилками;26.10.2022;26.10.2022
ВПС Некрасовка;Машина с носилками;26.10.2022;26.10.2022
Ростокино;Машина с носилками;26.10.2022;27.10.2022
Бутово;Машина с носилками;26.10.2022;26.10.2022
ДСУ Коломенское;Машина с носилками;26.10.2022;27.10.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );26.10.2022;26.10.2022
ВПС Некрасовка;Машина с носилками;26.10.2022;27.10.2022
Савеловский (4 ОПМПВ);Машина с носилками;26.10.2022;02.11.2022
Савеловский (4 ОПМПВ);Машина с носилками;26.10.2022;31.10.2022
ВПС Люблино;Машина с носилками;26.10.2022;26.10.2022
ВПС Дегунино;Машина с носилками;26.10.2022;28.10.2022
Царицыно;Машина с носилками;26.10.2022;27.10.2022
ДСУ Коломенское;Машина с носилками;26.10.2022;27.10.2022
ВПС ПМХ;Машина с носилками;26.10.2022;28.10.2022
ДСУ Люблино;Машина с носилками;26.10.2022;28.10.2022
Отдел МТО;Легковой административный транспорт;27.10.2022;27.10.2022
ВПС Солнцево;Машина с носилками;27.10.2022;27.10.2022
ВПС Царицыно;Машина с носилками;27.10.2022;27.10.2022
ВПС Хорошёво;Машина с носилками;27.10.2022;27.10.2022
ВПС Некрасовка;Машина с носилками;27.10.2022;27.10.2022
ВПС Хорошёво;Машина с носилками;27.10.2022;27.10.2022
ВПС Преображенское;Машина с носилками;27.10.2022;27.10.2022
ВПС Ростокино;Машина с носилками;27.10.2022;27.10.2022
Социальная служба;Легковой административный транспорт;27.10.2022;28.10.2022
ВПС Дегунино;Машина с носилками;27.10.2022;27.10.2022
ВПС Перово;Машина с носилками;27.10.2022;27.10.2022
ВПС ПМХ;Машина с носилками;27.10.2022;27.10.2022
ВПС Перово;Машина с носилками;27.10.2022;27.10.2022
ВПС Хорошёво;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );27.10.2022;27.10.2022
ВПС Ростокино;Машина с носилками;27.10.2022;27.10.2022
ВПС Ростокино;Машина с носилками;27.10.2022;27.10.2022
Ростокино;Машина с носилками;27.10.2022;28.10.2022
ВПС Вороново;Машина с носилками;27.10.2022;28.10.2022
ДСУ Люблино;Машина с носилками;27.10.2022;01.11.2022
ВПС Ростокино;Машина с носилками;27.10.2022;27.10.2022
Савеловский (2 ОПМПВ);Машина с носилками;27.10.2022;28.10.2022
ВПС Перово;Машина с носилками;27.10.2022;28.10.2022
Координационный центр;Машина с носилками;27.10.2022;28.10.2022
ВПС ПМХ;Машина с носилками;27.10.2022;28.10.2022
Царицыно;Машина с носилками;27.10.2022;28.10.2022
ВПС Дегунино;Машина с носилками;27.10.2022;28.10.2022
ДСУ Коломенское;Машина с носилками;27.10.2022;28.10.2022
Отдел МТО;Легковой административный транспорт;28.10.2022;28.10.2022
Координационный центр;Скорая помощь (Центр);28.10.2022;27.10.2022
Координационный центр;Скорая помощь (Центр);28.10.2022;27.10.2022
Координационный центр;Скорая помощь (Центр);28.10.2022;27.10.2022
ДСУ Коломенское;Машина с носилками;28.10.2022;29.10.2022
ВПС ПМХ;Машина с носилками;28.10.2022;28.10.2022
ВПС Савеловский;Машина с носилками;28.10.2022;28.10.2022
ВПС Куркино;Машина с носилками;28.10.2022;28.10.2022
ВПС Царицыно;Машина с носилками;28.10.2022;28.10.2022
Администрация;Легковой административный транспорт;28.10.2022;31.10.2022
Администрация;Легковой административный транспорт;28.10.2022;31.10.2022
Администрация;Легковой административный транспорт;28.10.2022;01.11.2022
ВПС Преображенское;Машина с носилками;28.10.2022;28.10.2022
ВПС Бутово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );28.10.2022;28.10.2022
ВПС Куркино;Машина с носилками;28.10.2022;28.10.2022
Аптека;Грузовой административный транспорт;28.10.2022;31.10.2022
ВПС ПМХ;Машина с носилками;28.10.2022;29.10.2022
ВПС Дегунино;Машина с носилками;28.10.2022;28.10.2022
ВПС Куркино;Машина с носилками;28.10.2022;29.10.2022
Некрасовка;Машина с носилками;28.10.2022;30.10.2022
Некрасовка;Машина с носилками;28.10.2022;30.10.2022
ВПС Перово;Машина с носилками;28.10.2022;28.10.2022
Социальная служба;Машина с носилками;28.10.2022;01.11.2022
Социальная служба;Машина с носилками;28.10.2022;02.11.2022
ДСУ Коломенское;Машина с носилками;28.10.2022;31.10.2022
Координационный центр;Скорая помощь (Центр);29.10.2022;28.10.2022
Координационный центр;Скорая помощь (Центр);29.10.2022;28.10.2022
ВПС Бутово;Машина с носилками;29.10.2022;29.10.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );29.10.2022;29.10.2022
ВПС Хорошёво;Машина с носилками;29.10.2022;29.10.2022
ВПС Царицыно;Машина с носилками;29.10.2022;29.10.2022
ВПС Савеловский;Машина с носилками;29.10.2022;29.10.2022
ВПС Вороново;Машина с носилками;29.10.2022;29.10.2022
ВПС Преображенское;Машина с носилками;29.10.2022;29.10.2022
ВПС Зеленоград;Машина с носилками;29.10.2022;29.10.2022
ВПС Преображенское;Машина с носилками;29.10.2022;29.10.2022
ВПС Преображенское;Машина с носилками;29.10.2022;29.10.2022
ВПС Зеленоград;Машина с носилками;29.10.2022;29.10.2022
Координационный центр;Скорая помощь (Центр);29.10.2022;29.10.2022
ВПС Хорошёво;Машина с носилками;30.10.2022;30.10.2022
ВПС Некрасовка;Машина с носилками;30.10.2022;30.10.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );30.10.2022;30.10.2022
ВПС Куркино;Машина с носилками;30.10.2022;30.10.2022
ВПС ПМХ;Машина с носилками;30.10.2022;30.10.2022
ВПС Люблино;Машина с носилками;30.10.2022;30.10.2022
ВПС Некрасовка;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );30.10.2022;30.10.2022
ВПС ПМХ;Машина с носилками;30.10.2022;30.10.2022
ВПС Бутово;Машина с носилками;30.10.2022;30.10.2022
ПМХ;Машина с носилками;30.10.2022;31.10.2022
ВПС Черемушкинская;Скорая помощь (Центр);30.10.2022;30.10.2022
ВПС Хорошёво;Машина с носилками;30.10.2022;30.10.2022
Координационный центр;Скорая помощь (Центр);30.10.2022;30.10.2022
Отдел МТО;Легковой административный транспорт;31.10.2022;31.10.2022
ВПС Черемушкинская;Машина с носилками;31.10.2022;31.10.2022
ВПС Хорошёво;Машина с носилками;31.10.2022;31.10.2022
ВПС Перово;Машина без носилок (ВПС);31.10.2022;31.10.2022
ВПС Черемушкинская;Машина с носилками;31.10.2022;31.10.2022
ВПС Хорошёво;Машина с носилками;31.10.2022;31.10.2022
ВПС Куркино;Машина с носилками;31.10.2022;31.10.2022
ДСУ Люблино;Машина с носилками;31.10.2022;02.11.2022
ВПС Ростокино;Машина с носилками;31.10.2022;31.10.2022
Аптека;Грузовой административный транспорт;31.10.2022;01.11.2022
ВПС Хорошёво;Машина с носилками;31.10.2022;31.10.2022
ВПС Черемушкинская;Скорая помощь (Центр);31.10.2022;31.10.2022
ВПС Ростокино;Машина с носилками;31.10.2022;31.10.2022
Дегунино;Машина с носилками;31.10.2022;02.11.2022
Дегунино;Машина с носилками;31.10.2022;02.11.2022
ВПС Перово;Машина с носилками;31.10.2022;31.10.2022
ВПС Савеловский;Машина с носилками;31.10.2022;31.10.2022
ВПС Царицыно;Машина с носилками;31.10.2022;31.10.2022
ВПС Дегунино;Машина с носилками;31.10.2022;05.11.2022
ДСУ Люблино;Машина с носилками;31.10.2022;02.11.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );31.10.2022;31.10.2022
ДСУ Коломенское;Машина с носилками;31.10.2022;03.11.2022
Медицинский архив;Легковой административный транспорт;31.10.2022;01.11.2022
ВПС Бутово;Машина с носилками;31.10.2022;01.11.2022
ВПС Дегунино;Машина с носилками;31.10.2022;01.11.2022
ВПС Царицыно;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );31.10.2022;31.10.2022
ПМДХ;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );31.10.2022;01.11.2022
ВПС Ростокино;Машина с носилками;31.10.2022;01.11.2022
Савеловский (4 ОПМПВ);Машина с носилками;31.10.2022;03.11.2022
Савеловский (4 ОПМПВ);Машина с носилками;31.10.2022;03.11.2022
ВПС Царицыно;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );31.10.2022;31.10.2022
ВПС Люблино;Машина с носилками;31.10.2022;31.10.2022
ВПС Савеловский;Машина с носилками;31.10.2022;01.11.2022
Отдел МТО;Легковой административный транспорт;01.11.2022;01.11.2022
ВПС Царицыно;Машина с носилками;01.11.2022;01.11.2022
ВПС Савеловский;Машина с носилками;01.11.2022;01.11.2022
ВПС Черемушкинская;Машина с носилками;01.11.2022;01.11.2022
ВПС ПМХ;Машина с носилками;01.11.2022;01.11.2022
ВПС Дегунино;Машина с носилками;01.11.2022;01.11.2022
ВПС Куркино;Машина с носилками;01.11.2022;01.11.2022
ВПС Некрасовка;Машина с носилками;01.11.2022;01.11.2022
ВПС ПМХ;Машина с носилками;01.11.2022;02.11.2022
Респираторный центр;Машина с носилками;01.11.2022;03.11.2022
ВПС Перово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );01.11.2022;02.11.2022
ВПС Преображенское;Машина с носилками;01.11.2022;01.11.2022
ВПС Хорошёво;Машина с носилками;01.11.2022;01.11.2022
ВПС Черемушкинская;Машина с носилками;01.11.2022;01.11.2022
ВПС Преображенское;Машина с носилками;01.11.2022;02.11.2022
ВПС Ростокино;Машина с носилками;01.11.2022;03.11.2022
ДСУ Люблино;Машина с носилками;01.11.2022;02.11.2022
Савеловский (1 ОПМПВ);Машина с носилками;01.11.2022;01.11.2022
ВПС Бутово;Машина с носилками;01.11.2022;02.11.2022
Аптека;Грузовой административный транспорт;01.11.2022;02.11.2022
Аптека;Грузовой административный транспорт;01.11.2022;02.11.2022
Аптека;Легковой административный транспорт;01.11.2022;02.11.2022
Савеловский (2 ОПМПВ);Машина с носилками;01.11.2022;02.11.2022
Ростокино;Машина с носилками;01.11.2022;03.11.2022
ВПС Дегунино;Машина с носилками;01.11.2022;02.11.2022
ВПС Дегунино;Скорая помощь (Центр);01.11.2022;02.11.2022
Савеловский (4 ОПМПВ);Машина с носилками;01.11.2022;03.11.2022
ВПС Ростокино;Машина с носилками;01.11.2022;01.11.2022
ВПС ПМХ;Машина с носилками;01.11.2022;01.11.2022
ВПС Савеловский;Машина с носилками;01.11.2022;02.11.2022
Царицыно;Машина с носилками;01.11.2022;02.11.2022
Царицыно;Машина с носилками;01.11.2022;02.11.2022
Администрация;Легковой административный транспорт;01.11.2022;02.11.2022
Администрация;Легковой административный транспорт;01.11.2022;02.11.2022
Администрация;Легковой административный транспорт;01.11.2022;03.11.2022
Респираторный центр;Машина без носилок (ВПС);01.11.2022;01.11.2022
Координационный центр;Скорая помощь (Центр);01.11.2022;01.11.2022
Отдел МТО;Легковой административный транспорт;02.11.2022;02.11.2022
ВПС Зеленоград;Машина с носилками;02.11.2022;02.11.2022
ВПС Царицыно;Машина с носилками;02.11.2022;02.11.2022
Респираторный центр;Машина с носилками;02.11.2022;02.11.2022
ВПС Царицыно;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );02.11.2022;02.11.2022
ВПС Савеловский;Машина с носилками;02.11.2022;02.11.2022
Зеленоград;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );02.11.2022;02.11.2022
ВПС Царицыно;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );02.11.2022;02.11.2022
Царицыно;Машина с носилками;02.11.2022;03.11.2022
ВПС Перово;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );02.11.2022;02.11.2022
ВПС Куркино;Машина с носилками;02.11.2022;02.11.2022
ВПС Хорошёво;Машина с носилками;02.11.2022;02.11.2022
Аптека;Грузовой административный транспорт;02.11.2022;03.11.2022
Аптека;Грузовой административный транспорт;02.11.2022;07.11.2022
ВПС Перово;Машина с носилками;02.11.2022;02.11.2022
Савеловский (1 ОПМПВ);Машина с носилками;02.11.2022;02.11.2022
Аптека;Грузовой административный транспорт;02.11.2022;07.11.2022
ВПС Ростокино;Машина с носилками;02.11.2022;02.11.2022
ВПС Дегунино;Машина с носилками;02.11.2022;06.11.2022
ВПС Преображенское;Машина с носилками;02.11.2022;02.11.2022
ВПС Некрасовка;Машина с носилками;02.11.2022;02.11.2022
Бутово;Машина с носилками;02.11.2022;03.11.2022
Дегунино;Машина с носилками;02.11.2022;03.11.2022
ВПС Дегунино;Машина с носилками;02.11.2022;07.11.2022
ПМХ;Машина с носилками;02.11.2022;03.11.2022
ВПС Хорошёво;Машина с носилками;02.11.2022;03.11.2022
Координационный центр;Скорая помощь (Центр);02.11.2022;02.11.2022
Координационный центр;Скорая помощь (Центр);02.11.2022;02.11.2022
ВПС Куркино;Машина с носилками;03.11.2022;03.11.2022
ВПС Некрасовка;Машина с носилками;03.11.2022;03.11.2022
Отдел МТО;Легковой административный транспорт;03.11.2022;03.11.2022
ВПС Преображенское;Машина с носилками;03.11.2022;03.11.2022
ВПС Куркино;Машина с носилками;03.11.2022;03.11.2022
Некрасовка;Машина с носилками;03.11.2022;04.11.2022
ВПС Черемушкинская;Машина с носилками;03.11.2022;03.11.2022
ВПС Бутово;Машина с носилками;03.11.2022;03.11.2022
ВПС Люблино;Скорая помощь (Центр);03.11.2022;03.11.2022
Некрасовка;Машина с носилками;03.11.2022;05.11.2022
ВПС Ростокино;Машина с носилками;03.11.2022;03.11.2022
ВПС Черемушкинская;Машина с носилками;03.11.2022;03.11.2022
ВПС Хорошёво;Машина с носилками;03.11.2022;03.11.2022
ВПС Савеловский;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );03.11.2022;03.11.2022
ВПС Солнцево;Машина с носилками;03.11.2022;03.11.2022
ВПС Савеловский;Машина с носилками;03.11.2022;03.11.2022
ВПС Бутово;Машина с носилками;03.11.2022;03.11.2022
ВПС ПМХ;Машина с носилками;03.11.2022;03.11.2022
ВПС Хорошёво;Машина с носилками;03.11.2022;03.11.2022
Респираторный центр;Легковой административный транспорт;03.11.2022;03.11.2022
Савеловский (3 ОПМПВ);Машина с носилками;03.11.2022;07.11.2022
ВПС Савеловский;Машина с носилками;03.11.2022;03.10.2022
Администрация;Легковой административный транспорт;03.11.2022;07.11.2022
Администрация;Легковой административный транспорт;03.11.2022;07.11.2022
Администрация;Легковой административный транспорт;03.11.2022;08.11.2022
Ростокино;Машина с носилками;03.11.2022;08.11.2022
Савеловский (4 ОПМПВ);Скорая помощь (Центр);03.11.2022;08.11.2022
ОДРП ул Академика Миллионщикова, д. 1, стр 2;Легковой административный транспорт;03.11.2022;03.11.2022
ВПС ПМХ;Машина с носилками;03.11.2022;04.11.2022
Координационный центр;Скорая помощь (Центр);04.11.2022;03.11.2022
Координационный центр;Скорая помощь (Центр);04.11.2022;03.11.2022
Координационный центр;Скорая помощь (Центр);04.11.2022;03.11.2022
Координационный центр;Скорая помощь (Центр);04.11.2022;03.11.2022
ВПС Ростокино;Машина с носилками;04.11.2022;04.11.2022
ВПС Зеленоград;Машина с носилками;04.11.2022;04.11.2022
ВПС Савеловский;Машина с носилками;04.11.2022;04.11.2022
ВПС Хорошёво;Машина с носилками;04.11.2022;04.11.2022
ВПС Савеловский;Скорая помощь (Центр);04.11.2022;04.11.2022
ВПС Хорошёво;Машина с носилками;04.11.2022;04.11.2022
ДСУ Люблино;Машина с носилками;04.11.2022;04.11.2022
ВПС Царицыно;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );04.11.2022;04.11.2022
Координационный центр;Скорая помощь (Центр);04.11.2022;04.11.2022
ВПС Ростокино;Скорая помощь (Центр);05.11.2022;05.11.2022
ВПС Савеловский;Машина с носилками;05.11.2022;05.11.2022
ВПС Преображенское;Машина с носилками;05.11.2022;05.11.2022
ВПС ПМХ;Машина с носилками;05.11.2022;05.11.2022
ВПС Савеловский;Машина с носилками;05.11.2022;05.11.2022
ДСУ Люблино;Машина с носилками;05.11.2022;05.11.2022
ВПС Черемушкинская;Машина с носилками;05.11.2022;05.11.2022
ВПС Ростокино;Машина с носилками;05.11.2022;05.11.2022
ВПС Преображенское;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.11.2022;05.11.2022
ВПС Некрасовка;Машина с носилками;05.11.2022;05.11.2022
ВПС Хорошёво;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.11.2022;05.11.2022
ВПС Некрасовка;Машина с носилками;05.11.2022;05.11.2022
ВПС Некрасовка;Машина с носилками;05.11.2022;05.11.2022
ВПС Некрасовка;Машина с носилками;05.11.2022;05.11.2022
ВПС Хорошёво;Машина с носилками;05.11.2022;05.11.2022
ВПС Царицыно;Машина с носилками;05.11.2022;05.11.2022
ДСУ Коломенское;Машина без носилок (ВПС);05.11.2022;07.11.2022
ВПС Хорошёво;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );05.11.2022;05.11.2022
ВПС Бутово;Машина с носилками;05.11.2022;05.11.2022
ВПС Ростокино;Машина с носилками;05.11.2022;05.11.2022
ВПС Перово;Машина с носилками;06.11.2022;06.11.2022
ВПС Черемушкинская;Машина с носилками;06.11.2022;06.11.2022
ВПС Некрасовка;Машина с носилками;06.11.2022;06.11.2022
ВПС Царицыно;Машина с носилками;06.11.2022;06.12.2022
ВПС Хорошёво;Машина СМП/ЦЭМП (тяжелые пациенты с мед.сопровождением, респираторная поддержка );06.11.2022;06.11.2022
ВПС Люблино;Машина с носилками;06.11.2022;06.11.2022
ВПС Перово;Машина с носилками;06.11.2022;06.11.2022
ВПС Ростокино;Машина с носилками;06.11.2022;06.11.2022
ВПС Ростокино;Машина с носилками;06.11.2022;06.11.2022
Зеленоград;Машина с носилками;06.11.2022;06.11.2022
ВПС Царицыно;Машина с носилками;06.11.2022;06.11.2022
ВПС Савеловский;Машина с носилками;06.11.2022;06.11.2022
ВПС ПМХ;Машина с носилками;06.11.2022;06.11.2022
ВПС Царицыно;Машина с носилками;06.11.2022;06.11.2022
ВПС Царицыно;Машина с носилками;06.11.2022;06.11.2022
